"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"District of Columbia","Season peak week","week","Bin","40","41",0.000374106713558323
"District of Columbia","Season peak week","week","Bin","41","42",0.000506956430309747
"District of Columbia","Season peak week","week","Bin","42","43",0.000743024347377869
"District of Columbia","Season peak week","week","Bin","43","44",0.00115819778471711
"District of Columbia","Season peak week","week","Bin","44","45",0.00187770461808889
"District of Columbia","Season peak week","week","Bin","45","46",0.00310012415738971
"District of Columbia","Season peak week","week","Bin","46","47",0.00512400926549417
"District of Columbia","Season peak week","week","Bin","47","48",0.00836683523824343
"District of Columbia","Season peak week","week","Bin","48","49",0.0133553025155026
"District of Columbia","Season peak week","week","Bin","49","50",0.0206552132723051
"District of Columbia","Season peak week","week","Bin","50","51",0.0307086176855841
"District of Columbia","Season peak week","week","Bin","51","52",0.0435722092910194
"District of Columbia","Season peak week","week","Bin","52","53",0.0586155066130439
"District of Columbia","Season peak week","week","Bin","1","2",0.0743233966337987
"District of Columbia","Season peak week","week","Bin","2","3",0.0883927841778729
"District of Columbia","Season peak week","week","Bin","3","4",0.0982354622591034
"District of Columbia","Season peak week","week","Bin","4","5",0.101781097993181
"District of Columbia","Season peak week","week","Bin","5","6",0.0982354622591033
"District of Columbia","Season peak week","week","Bin","6","7",0.0883927841778729
"District of Columbia","Season peak week","week","Bin","7","8",0.0743233966337987
"District of Columbia","Season peak week","week","Bin","8","9",0.0586155066130438
"District of Columbia","Season peak week","week","Bin","9","10",0.0435722092910194
"District of Columbia","Season peak week","week","Bin","10","11",0.0307086176855841
"District of Columbia","Season peak week","week","Bin","11","12",0.0206552132723052
"District of Columbia","Season peak week","week","Bin","12","13",0.0133553025155025
"District of Columbia","Season peak week","week","Bin","13","14",0.0083668352382435
"District of Columbia","Season peak week","week","Bin","14","15",0.00512400926549414
"District of Columbia","Season peak week","week","Bin","15","16",0.00310012415738969
"District of Columbia","Season peak week","week","Bin","16","17",0.00187770461808899
"District of Columbia","Season peak week","week","Bin","17","18",0.00115819778471702
"District of Columbia","Season peak week","week","Bin","18","19",0.000743024347377899
"District of Columbia","Season peak week","week","Bin","19","20",0.000506956430309732
"District of Columbia","Season peak week","week","Bin","20","21",0.000374106713558313
"District of Columbia","Season peak percentage","percent","Bin","0","0.1",0.00333664230742185
"District of Columbia","Season peak percentage","percent","Bin","0.1","0.2",0.00347678791019657
"District of Columbia","Season peak percentage","percent","Bin","0.2","0.3",0.00362332581763132
"District of Columbia","Season peak percentage","percent","Bin","0.3","0.4",0.00377635793075853
"District of Columbia","Season peak percentage","percent","Bin","0.4","0.5",0.00393596892630884
"District of Columbia","Season peak percentage","percent","Bin","0.5","0.6",0.00410222435154275
"District of Columbia","Season peak percentage","percent","Bin","0.6","0.7",0.00427516868510607
"District of Columbia","Season peak percentage","percent","Bin","0.7","0.8",0.004454823378126
"District of Columbia","Season peak percentage","percent","Bin","0.8","0.9",0.00464118489142112
"District of Columbia","Season peak percentage","percent","Bin","0.9","1",0.00483422274631839
"District of Columbia","Season peak percentage","percent","Bin","1","1.1",0.00503387760813149
"District of Columbia","Season peak percentage","percent","Bin","1.1","1.2",0.00524005942282177
"District of Columbia","Season peak percentage","percent","Bin","1.2","1.3",0.0054526456287122
"District of Columbia","Season peak percentage","percent","Bin","1.3","1.4",0.00567147946630112
"District of Columbia","Season peak percentage","percent","Bin","1.4","1.5",0.00589636841022405
"District of Columbia","Season peak percentage","percent","Bin","1.5","1.6",0.00612708274816509
"District of Columbia","Season peak percentage","percent","Bin","1.6","1.7",0.00636335433201611
"District of Columbia","Season peak percentage","percent","Bin","1.7","1.8",0.00660487552678674
"District of Columbia","Season peak percentage","percent","Bin","1.8","1.9",0.00685129838262105
"District of Columbia","Season peak percentage","percent","Bin","1.9","2",0.00710223405479663
"District of Columbia","Season peak percentage","percent","Bin","2","2.1",0.00735725249568909
"District of Columbia","Season peak percentage","percent","Bin","2.1","2.2",0.00761588244140893
"District of Columbia","Season peak percentage","percent","Bin","2.2","2.3",0.0078776117141002
"District of Columbia","Season peak percentage","percent","Bin","2.3","2.4",0.00814188785876454
"District of Columbia","Season peak percentage","percent","Bin","2.4","2.5",0.00840811913089388
"District of Columbia","Season peak percentage","percent","Bin","2.5","2.6",0.00867567584820986
"District of Columbia","Season peak percentage","percent","Bin","2.6","2.7",0.00894389211640953
"District of Columbia","Season peak percentage","percent","Bin","2.7","2.8",0.00921206793502364
"District of Columbia","Season peak percentage","percent","Bin","2.8","2.9",0.00947947168536996
"District of Columbia","Season peak percentage","percent","Bin","2.9","3",0.00974534299813348
"District of Columbia","Season peak percentage","percent","Bin","3","3.1",0.0100088959934202
"District of Columbia","Season peak percentage","percent","Bin","3.1","3.2",0.0102693228812324
"District of Columbia","Season peak percentage","percent","Bin","3.2","3.3",0.0105257979053085
"District of Columbia","Season peak percentage","percent","Bin","3.3","3.4",0.0107774816082082
"District of Columbia","Season peak percentage","percent","Bin","3.4","3.5",0.0110235253904895
"District of Columbia","Season peak percentage","percent","Bin","3.5","3.6",0.0112630763319334
"District of Columbia","Season peak percentage","percent","Bin","3.6","3.7",0.0114952822380568
"District of Columbia","Season peak percentage","percent","Bin","3.7","3.8",0.0117192968707739
"District of Columbia","Season peak percentage","percent","Bin","3.8","3.9",0.0119342853180495
"District of Columbia","Season peak percentage","percent","Bin","3.9","4",0.012139429453863
"District of Columbia","Season peak percentage","percent","Bin","4","4.1",0.012333933436828
"District of Columbia","Season peak percentage","percent","Bin","4.1","4.2",0.0125170291934716
"District of Columbia","Season peak percentage","percent","Bin","4.2","4.3",0.0126879818305376
"District of Columbia","Season peak percentage","percent","Bin","4.3","4.4",0.0128460949197873
"District of Columbia","Season peak percentage","percent","Bin","4.4","4.5",0.0129907155986758
"District of Columbia","Season peak percentage","percent","Bin","4.5","4.6",0.0131212394310076
"District of Columbia","Season peak percentage","percent","Bin","4.6","4.7",0.0132371149732381
"District of Columbia","Season peak percentage","percent","Bin","4.7","4.8",0.013337847994476
"District of Columbia","Season peak percentage","percent","Bin","4.8","4.9",0.0134230053014476
