"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","percent","Bin","0","0.1",3.03396920157728e-46
"Alabama","1 wk ahead","percent","Bin","0.1","0.2",1.6298316203791e-31
"Alabama","1 wk ahead","percent","Bin","0.2","0.3",2.98366336363151e-24
"Alabama","1 wk ahead","percent","Bin","0.3","0.4",1.05426351764181e-19
"Alabama","1 wk ahead","percent","Bin","0.4","0.5",1.60525892319675e-16
"Alabama","1 wk ahead","percent","Bin","0.5","0.6",3.81276795441067e-14
"Alabama","1 wk ahead","percent","Bin","0.6","0.7",2.69405853436681e-12
"Alabama","1 wk ahead","percent","Bin","0.7","0.8",8.16783294395572e-11
"Alabama","1 wk ahead","percent","Bin","0.8","0.9",1.3331865581338e-09
"Alabama","1 wk ahead","percent","Bin","0.9","1",1.36113443846623e-08
"Alabama","1 wk ahead","percent","Bin","1","1.1",9.64505467655369e-08
"Alabama","1 wk ahead","percent","Bin","1.1","1.2",5.11184442780828e-07
"Alabama","1 wk ahead","percent","Bin","1.2","1.3",2.14164908144036e-06
"Alabama","1 wk ahead","percent","Bin","1.3","1.4",7.39633593791899e-06
"Alabama","1 wk ahead","percent","Bin","1.4","1.5",2.17491462978053e-05
"Alabama","1 wk ahead","percent","Bin","1.5","1.6",5.5856262553042e-05
"Alabama","1 wk ahead","percent","Bin","1.6","1.7",0.000127854011311006
"Alabama","1 wk ahead","percent","Bin","1.7","1.8",0.000265146485497953
"Alabama","1 wk ahead","percent","Bin","1.8","1.9",0.000504896371006856
"Alabama","1 wk ahead","percent","Bin","1.9","2",0.000892618922559722
"Alabama","1 wk ahead","percent","Bin","2","2.1",0.00147870148644567
"Alabama","1 wk ahead","percent","Bin","2.1","2.2",0.00231318593517492
"Alabama","1 wk ahead","percent","Bin","2.2","2.3",0.00343958993837732
"Alabama","1 wk ahead","percent","Bin","2.3","2.4",0.0048887800384727
"Alabama","1 wk ahead","percent","Bin","2.4","2.5",0.00667389993218842
"Alabama","1 wk ahead","percent","Bin","2.5","2.6",0.00878713394874978
"Alabama","1 wk ahead","percent","Bin","2.6","2.7",0.0111987312980039
"Alabama","1 wk ahead","percent","Bin","2.7","2.8",0.013858328732241
"Alabama","1 wk ahead","percent","Bin","2.8","2.9",0.0166982710011556
"Alabama","1 wk ahead","percent","Bin","2.9","3",0.0196383926925896
"Alabama","1 wk ahead","percent","Bin","3","3.1",0.0225916109889948
"Alabama","1 wk ahead","percent","Bin","3.1","3.2",0.0254696780346462
"Alabama","1 wk ahead","percent","Bin","3.2","3.3",0.0281885278308077
