"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.00224258955148209
"Alabama","Season peak week","week","Bin","41","42",0.00224258955148209
"Alabama","Season peak week","week","Bin","42","43",0.00224258955148209
"Alabama","Season peak week","week","Bin","43","44",0.00462154907569018
"Alabama","Season peak week","week","Bin","44","45",0.00224258955148209
"Alabama","Season peak week","week","Bin","45","46",0.00713197857360428
"Alabama","Season peak week","week","Bin","46","47",0.0049002690199462
"Alabama","Season peak week","week","Bin","47","48",0.00737212852557429
"Alabama","Season peak week","week","Bin","48","49",0.00483589903282019
"Alabama","Season peak week","week","Bin","49","50",0.0074796185040763
"Alabama","Season peak week","week","Bin","50","51",0.0024071695185661
"Alabama","Season peak week","week","Bin","51","52",0.0232975953404809
"Alabama","Season peak week","week","Bin","52","53",0.211398957720208
"Alabama","Season peak week","week","Bin","1","2",0.0572984885403023
"Alabama","Season peak week","week","Bin","2","3",0.0188044962391007
"Alabama","Season peak week","week","Bin","3","4",0.0519220896155821
"Alabama","Season peak week","week","Bin","4","5",0.0669032866193427
"Alabama","Season peak week","week","Bin","5","6",0.0570834885833023
"Alabama","Season peak week","week","Bin","6","7",0.0822493835501233
"Alabama","Season peak week","week","Bin","7","8",0.0918573816285237
"Alabama","Season peak week","week","Bin","8","9",0.0567828886434223
"Alabama","Season peak week","week","Bin","9","10",0.0285637942872411
"Alabama","Season peak week","week","Bin","10","11",0.075332084933583
"Alabama","Season peak week","week","Bin","11","12",0.0672077865584427
"Alabama","Season peak week","week","Bin","12","13",0.0178826964234607
"Alabama","Season peak week","week","Bin","13","14",0.00984398803120239
"Alabama","Season peak week","week","Bin","14","15",0.00735088852982229
"Alabama","Season peak week","week","Bin","15","16",0.0124664975067005
"Alabama","Season peak week","week","Bin","16","17",0.00468591906281619
"Alabama","Season peak week","week","Bin","17","18",0.00462154907569018
"Alabama","Season peak week","week","Bin","18","19",0.00224258955148209
"Alabama","Season peak week","week","Bin","19","20",0.00224258955148209
"Alabama","Season peak week","week","Bin","20","21",0.00224258955148209
"Alabama","Season peak percentage","percent","Bin","0","0.1",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.1","0.2",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.2","0.3",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.3","0.4",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.4","0.5",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.5","0.6",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.6","0.7",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.7","0.8",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.8","0.9",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","0.9","1",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1","1.1",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.1","1.2",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.2","1.3",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.3","1.4",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.4","1.5",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.5","1.6",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.6","1.7",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.7","1.8",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.8","1.9",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","1.9","2",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","2","2.1",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","2.1","2.2",0.000673297079449055
"Alabama","Season peak percentage","percent","Bin","2.2","2.3",0.000673297079449055
