"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.00157079047408174
"Alabama","Season peak week","week","Bin","41","42",0.00185568060010798
"Alabama","Season peak week","week","Bin","42","43",0.00217857613970123
"Alabama","Season peak week","week","Bin","43","44",0.00256529508355354
"Alabama","Season peak week","week","Bin","44","45",0.00308688313783279
"Alabama","Season peak week","week","Bin","45","46",0.00407221124722367
"Alabama","Season peak week","week","Bin","46","47",0.00610038243586365
"Alabama","Season peak week","week","Bin","47","48",0.0096982583582106
"Alabama","Season peak week","week","Bin","48","49",0.0169267370067396
"Alabama","Season peak week","week","Bin","49","50",0.0265390494523603
"Alabama","Season peak week","week","Bin","50","51",0.0451775173988148
"Alabama","Season peak week","week","Bin","51","52",0.108301291526412
"Alabama","Season peak week","week","Bin","52","53",0.153905100941716
"Alabama","Season peak week","week","Bin","1","2",0.0989604393365144
"Alabama","Season peak week","week","Bin","2","3",0.0792771649825595
"Alabama","Season peak week","week","Bin","3","4",0.0792703549873676
"Alabama","Season peak week","week","Bin","4","5",0.0710217716882109
"Alabama","Season peak week","week","Bin","5","6",0.0570018008177283
"Alabama","Season peak week","week","Bin","6","7",0.0476583164884973
"Alabama","Season peak week","week","Bin","7","8",0.0429456997626816
"Alabama","Season peak week","week","Bin","8","9",0.0332346129008311
"Alabama","Season peak week","week","Bin","9","10",0.026068765106254
"Alabama","Season peak week","week","Bin","10","11",0.0216261142534735
"Alabama","Season peak week","week","Bin","11","12",0.0154288914347972
"Alabama","Season peak week","week","Bin","12","13",0.0113527794332222
"Alabama","Season peak week","week","Bin","13","14",0.00907799700682351
"Alabama","Season peak week","week","Bin","14","15",0.0072854665096994
"Alabama","Season peak week","week","Bin","15","16",0.00498870974771087
"Alabama","Season peak week","week","Bin","16","17",0.00402153887713993
"Alabama","Season peak week","week","Bin","17","18",0.00304012416752439
"Alabama","Season peak week","week","Bin","18","19",0.00222292975595205
"Alabama","Season peak week","week","Bin","19","20",0.0018681592610336
"Alabama","Season peak week","week","Bin","20","21",0.00167058967936078
"Alabama","Season peak percentage","percent","Bin","0","0.1",0.000799140898346618
"Alabama","Season peak percentage","percent","Bin","0.1","0.2",0.000827104562645717
"Alabama","Season peak percentage","percent","Bin","0.2","0.3",0.000858496027267143
"Alabama","Season peak percentage","percent","Bin","0.3","0.4",0.000887666580412724
"Alabama","Season peak percentage","percent","Bin","0.4","0.5",0.000920695169628017
"Alabama","Season peak percentage","percent","Bin","0.5","0.6",0.000955105938305486
"Alabama","Season peak percentage","percent","Bin","0.6","0.7",0.000988103306283478
"Alabama","Season peak percentage","percent","Bin","0.7","0.8",0.0010281771824717
"Alabama","Season peak percentage","percent","Bin","0.8","0.9",0.00106590764547287
"Alabama","Season peak percentage","percent","Bin","0.9","1",0.00110542034059431
"Alabama","Season peak percentage","percent","Bin","1","1.1",0.00115167336630222
"Alabama","Season peak percentage","percent","Bin","1.1","1.2",0.00119591876755855
"Alabama","Season peak percentage","percent","Bin","1.2","1.3",0.00124331728734505
"Alabama","Season peak percentage","percent","Bin","1.3","1.4",0.00129678290941014
"Alabama","Season peak percentage","percent","Bin","1.4","1.5",0.00134726872742988
"Alabama","Season peak percentage","percent","Bin","1.5","1.6",0.00140690718006866
"Alabama","Season peak percentage","percent","Bin","1.6","1.7",0.00146654190299776
"Alabama","Season peak percentage","percent","Bin","1.7","1.8",0.00152778040490418
"Alabama","Season peak percentage","percent","Bin","1.8","1.9",0.00159725530697259
"Alabama","Season peak percentage","percent","Bin","1.9","2",0.00166692131631346
"Alabama","Season peak percentage","percent","Bin","2","2.1",0.00173862697293437
"Alabama","Season peak percentage","percent","Bin","2.1","2.2",0.00182037702663877
"Alabama","Season peak percentage","percent","Bin","2.2","2.3",0.00189772705427287
"Alabama","Season peak percentage","percent","Bin","2.3","2.4",0.00198389264542058
"Alabama","Season peak percentage","percent","Bin","2.4","2.5",0.00207452491068944
"Alabama","Season peak percentage","percent","Bin","2.5","2.6",0.00216309797275663
"Alabama","Season peak percentage","percent","Bin","2.6","2.7",0.00226144139477677
"Alabama","Season peak percentage","percent","Bin","2.7","2.8",0.00236088696625902
"Alabama","Season peak percentage","percent","Bin","2.8","2.9",0.00246145437556011
