"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.000516733742847757
"Alabama","Season peak week","week","Bin","41","42",0.000535433189329336
"Alabama","Season peak week","week","Bin","42","43",0.000535434161824335
"Alabama","Season peak week","week","Bin","43","44",0.000535433764254984
"Alabama","Season peak week","week","Bin","44","45",0.000535433440777012
"Alabama","Season peak week","week","Bin","45","46",0.000535438986816936
"Alabama","Season peak week","week","Bin","46","47",0.000535443620768336
"Alabama","Season peak week","week","Bin","47","48",0.000535437128508577
"Alabama","Season peak week","week","Bin","48","49",0.000535438283316464
"Alabama","Season peak week","week","Bin","49","50",0.000535440305895695
"Alabama","Season peak week","week","Bin","50","51",0.000535439464982997
"Alabama","Season peak week","week","Bin","51","52",0.000535438779621034
"Alabama","Season peak week","week","Bin","52","53",0.000535444591431439
"Alabama","Season peak week","week","Bin","1","2",0.000535446659606017
"Alabama","Season peak week","week","Bin","2","3",0.000535440587935318
"Alabama","Season peak week","week","Bin","3","4",0.000535440604200836
"Alabama","Season peak week","week","Bin","4","5",0.000535656304495286
"Alabama","Season peak week","week","Bin","5","6",0.000535446465182663
"Alabama","Season peak week","week","Bin","6","7",0.00254511439679151
"Alabama","Season peak week","week","Bin","7","8",0.980464827223651
"Alabama","Season peak week","week","Bin","8","9",0.000946099263057181
"Alabama","Season peak week","week","Bin","9","10",0.000535441252365881
"Alabama","Season peak week","week","Bin","10","11",0.000535438793743974
"Alabama","Season peak week","week","Bin","11","12",0.000535438051666307
"Alabama","Season peak week","week","Bin","12","13",0.000535439146417713
"Alabama","Season peak week","week","Bin","13","14",0.000535436731874467
"Alabama","Season peak week","week","Bin","14","15",0.000535443609056741
"Alabama","Season peak week","week","Bin","15","16",0.000535440522687422
"Alabama","Season peak week","week","Bin","16","17",0.000535434604069158
"Alabama","Season peak week","week","Bin","17","18",0.000535433343550188
"Alabama","Season peak week","week","Bin","18","19",0.000535432146798312
"Alabama","Season peak week","week","Bin","19","20",0.000535431494245626
"Alabama","Season peak week","week","Bin","20","21",0.000534729338229392
"Alabama","Season peak percentage","percent","Bin","0","0.1",0.000198692764144985
"Alabama","Season peak percentage","percent","Bin","0.1","0.2",0.000216441548496378
"Alabama","Season peak percentage","percent","Bin","0.2","0.3",0.000223602989409773
"Alabama","Season peak percentage","percent","Bin","0.3","0.4",0.000226905135629252
"Alabama","Season peak percentage","percent","Bin","0.4","0.5",0.00022926452332505
"Alabama","Season peak percentage","percent","Bin","0.5","0.6",0.000231347392663134
"Alabama","Season peak percentage","percent","Bin","0.6","0.7",0.000233419563032807
"Alabama","Season peak percentage","percent","Bin","0.7","0.8",0.000235600359239733
