location,target,type,unit,bin_start_incl,bin_end_notincl,value
Alabama,Season peak week,Point,week,NA,NA,3
Alabama,Season peak week,Bin,week,40,41,1.02E-05
Alabama,Season peak week,Bin,week,41,42,4.24E-05
Alabama,Season peak week,Bin,week,42,43,0.000155432
Alabama,Season peak week,Bin,week,43,44,0.000501
Alabama,Season peak week,Bin,week,44,45,0.001420262
Alabama,Season peak week,Bin,week,45,46,0.003544002
Alabama,Season peak week,Bin,week,46,47,0.007794135
Alabama,Season peak week,Bin,week,47,48,0.015135612
Alabama,Season peak week,Bin,week,48,49,0.026027675
Alabama,Season peak week,Bin,week,49,50,0.039811967
Alabama,Season peak week,Bin,week,50,51,0.054534765
Alabama,Season peak week,Bin,week,51,52,0.067572318
Alabama,Season peak week,Bin,week,52,53,0.076808571
Alabama,Season peak week,Bin,week,1,2,0.081549976
Alabama,Season peak week,Bin,week,2,3,0.082498268
Alabama,Season peak week,Bin,week,3,4,0.080904652
Alabama,Season peak week,Bin,week,4,5,0.077673493
Alabama,Season peak week,Bin,week,5,6,0.07306453
Alabama,Season peak week,Bin,week,6,7,0.066997058
Alabama,Season peak week,Bin,week,7,8,0.059489807
Alabama,Season peak week,Bin,week,8,9,0.05084814
Alabama,Season peak week,Bin,week,9,10,0.041582357
Alabama,Season peak week,Bin,week,10,11,0.032271949
Alabama,Season peak week,Bin,week,11,12,0.023510909
Alabama,Season peak week,Bin,week,12,13,0.015873426
Alabama,Season peak week,Bin,week,13,14,0.00980531
Alabama,Season peak week,Bin,week,14,15,0.005479964
Alabama,Season peak week,Bin,week,15,16,0.002746386
Alabama,Season peak week,Bin,week,16,17,0.001226179
Alabama,Season peak week,Bin,week,17,18,0.000485445
Alabama,Season peak week,Bin,week,18,19,0.000217581
Alabama,Season peak week,Bin,week,19,20,0.000208139
Alabama,Season peak week,Bin,week,20,21,0.000208139
Alabama,Season peak percentage,Point,percent,NA,NA,8
Alabama,Season peak percentage,Bin,percent,0,0.1,1.34E-08
Alabama,Season peak percentage,Bin,percent,0.1,0.2,8.57E-08
Alabama,Season peak percentage,Bin,percent,0.2,0.3,1.22E-07
Alabama,Season peak percentage,Bin,percent,0.3,0.4,1.74E-07
Alabama,Season peak percentage,Bin,percent,0.4,0.5,2.45E-07
Alabama,Season peak percentage,Bin,percent,0.5,0.6,3.45E-07
Alabama,Season peak percentage,Bin,percent,0.6,0.7,4.82E-07
Alabama,Season peak percentage,Bin,percent,0.7,0.8,6.70E-07
Alabama,Season peak percentage,Bin,percent,0.8,0.9,9.26E-07
Alabama,Season peak percentage,Bin,percent,0.9,1,1.27E-06
Alabama,Season peak percentage,Bin,percent,1,1.1,1.74E-06
Alabama,Season peak percentage,Bin,percent,1.1,1.2,2.37E-06
Alabama,Season peak percentage,Bin,percent,1.2,1.3,3.20E-06
Alabama,Season peak percentage,Bin,percent,1.3,1.4,4.31E-06
Alabama,Season peak percentage,Bin,percent,1.4,1.5,5.77E-06
Alabama,Season peak percentage,Bin,percent,1.5,1.6,7.68E-06
Alabama,Season peak percentage,Bin,percent,1.6,1.7,1.02E-05
Alabama,Season peak percentage,Bin,percent,1.7,1.8,1.34E-05
Alabama,Season peak percentage,Bin,percent,1.8,1.9,1.76E-05
Alabama,Season peak percentage,Bin,percent,1.9,2,2.29E-05
Alabama,Season peak percentage,Bin,percent,2,2.1,2.97E-05
Alabama,Season peak percentage,Bin,percent,2.1,2.2,3.83E-05
Alabama,Season peak percentage,Bin,percent,2.2,2.3,4.91E-05
