"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.000185090560842035
"Alabama","Season peak week","week","Bin","41","42",0.000185090560842035
"Alabama","Season peak week","week","Bin","42","43",0.000185090560842035
"Alabama","Season peak week","week","Bin","43","44",0.00039323548471475
"Alabama","Season peak week","week","Bin","44","45",0.00039323548471475
"Alabama","Season peak week","week","Bin","45","46",0.00122581518020561
"Alabama","Season peak week","week","Bin","46","47",0.00559685858153262
"Alabama","Season peak week","week","Bin","47","48",0.00892717736349605
"Alabama","Season peak week","week","Bin","48","49",0.00871903243962334
"Alabama","Season peak week","week","Bin","49","50",0.0112167715260959
"Alabama","Season peak week","week","Bin","50","51",0.0172529743184046
"Alabama","Season peak week","week","Bin","51","52",0.0728276689924195
"Alabama","Season peak week","week","Bin","52","53",0.234348129917646
"Alabama","Season peak week","week","Bin","1","2",0.0688729154388379
"Alabama","Season peak week","week","Bin","2","3",0.046185118736712
"Alabama","Season peak week","week","Bin","3","4",0.0769905674698738
"Alabama","Season peak week","week","Bin","4","5",0.090728132445473
"Alabama","Season peak week","week","Bin","5","6",0.0807371760995826
"Alabama","Season peak week","week","Bin","6","7",0.0747009733072739
"Alabama","Season peak week","week","Bin","7","8",0.0853163644247824
"Alabama","Season peak week","week","Bin","8","9",0.0397326260966578
"Alabama","Season peak week","week","Bin","9","10",0.0166285395467865
"Alabama","Season peak week","week","Bin","10","11",0.0162122496990411
"Alabama","Season peak week","week","Bin","11","12",0.00996790198285963
"Alabama","Season peak week","week","Bin","12","13",0.0116330613738413
"Alabama","Season peak week","week","Bin","13","14",0.00996790198285963
"Alabama","Season peak week","week","Bin","14","15",0.00309911949506004
"Alabama","Season peak week","week","Bin","15","16",0.00101767025633289
"Alabama","Season peak week","week","Bin","16","17",0.00226653979956918
"Alabama","Season peak week","week","Bin","17","18",0.00122581518020561
"Alabama","Season peak week","week","Bin","18","19",0.00080952533246018
"Alabama","Season peak week","week","Bin","19","20",0.00080952533246018
"Alabama","Season peak week","week","Bin","20","21",0.00164210502795104
"Alabama","Season peak percentage","percent","Bin","0","0.1",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.1","0.2",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.2","0.3",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.3","0.4",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.4","0.5",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.5","0.6",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.6","0.7",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.7","0.8",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.8","0.9",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","0.9","1",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1","1.1",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.1","1.2",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.2","1.3",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.3","1.4",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.4","1.5",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.5","1.6",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.6","1.7",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.7","1.8",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.8","1.9",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","1.9","2",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2","2.1",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2.1","2.2",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2.2","2.3",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2.3","2.4",0.000270891826989811
"Alabama","Season peak percentage","percent","Bin","2.4","2.5",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2.5","2.6",0.000270891826989811
"Alabama","Season peak percentage","percent","Bin","2.6","2.7",5.02803972861667e-05
"Alabama","Season peak percentage","percent","Bin","2.7","2.8",0.000932726116100746
"Alabama","Season peak percentage","percent","Bin","2.8","2.9",0.00115333754580439
"Alabama","Season peak percentage","percent","Bin","2.9","3",0.00115333754580439
"Alabama","Season peak percentage","percent","Bin","3","3.1",0.00159456040521168
"Alabama","Season peak percentage","percent","Bin","3.1","3.2",0.00247700612402626
"Alabama","Season peak percentage","percent","Bin","3.2","3.3",0.00225639469432261
"Alabama","Season peak percentage","percent","Bin","3.3","3.4",0.00115333754580439
"Alabama","Season peak percentage","percent","Bin","3.4","3.5",0.00468312042106271
"Alabama","Season peak percentage","percent","Bin","3.5","3.6",0.00313884041313719
"Alabama","Season peak percentage","percent","Bin","3.6","3.7",0.00534495471017364
