"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Alabama","Season peak week","Point","week",NA,NA,3
"Alabama","Season peak week","Bin","week","40.0","41.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","41.0","42.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","42.0","43.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","43.0","44.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","44.0","45.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","45.0","46.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","46.0","47.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","47.0","48.0",0.000598697011511521
"Alabama","Season peak week","Bin","week","48.0","49.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","49.0","50.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","50.0","51.0",0.00184055891854715
"Alabama","Season peak week","Bin","week","51.0","52.0",0.0181917406945162
"Alabama","Season peak week","Bin","week","52.0","53.0",0.327001401577375
"Alabama","Season peak week","Bin","week","1.0","2.0",0.0829755368448746
"Alabama","Season peak week","Bin","week","2.0","3.0",0.0467545645563356
"Alabama","Season peak week","Bin","week","3.0","4.0",0.0918755471786299
"Alabama","Season peak week","Bin","week","4.0","5.0",0.0904267082870884
"Alabama","Season peak week","Bin","week","5.0","6.0",0.0858732146279578
"Alabama","Season peak week","Bin","week","6.0","7.0",0.068694124913965
"Alabama","Season peak week","Bin","week","7.0","8.0",0.0726266876195778
"Alabama","Season peak week","Bin","week","8.0","9.0",0.0359917613620268
"Alabama","Season peak week","Bin","week","9.0","10.0",0.0169498787874806
"Alabama","Season peak week","Bin","week","10.0","11.0",0.0200545335550696
"Alabama","Season peak week","Bin","week","11.0","12.0",0.00991266131427871
"Alabama","Season peak week","Bin","week","12.0","13.0",0.0117754541748321
"Alabama","Season peak week","Bin","week","13.0","14.0",0.0076359144847134
"Alabama","Season peak week","Bin","week","14.0","15.0",0.00370335177910058
"Alabama","Season peak week","Bin","week","15.0","16.0",0.00184055891854715
"Alabama","Season peak week","Bin","week","16.0","17.0",0.000805673996017459
"Alabama","Season peak week","Bin","week","17.0","18.0",0.000598697011511521
"Alabama","Season peak week","Bin","week","18.0","19.0",0.000598697011511521
"Alabama","Season peak week","Bin","week","19.0","20.0",0.000184743042499646
"Alabama","Season peak week","Bin","week","20.0","21.0",0.00142660494953527
"Alabama","Season peak percentage","Point","percent",NA,NA,6.7
"Alabama","Season peak percentage","Bin","percent","0.0","0.1",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.1","0.2",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.2","0.3",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.3","0.4",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.4","0.5",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.5","0.6",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.6","0.7",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.7","0.8",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.8","0.9",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","0.9","1.0",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.0","1.1",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.1","1.2",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.2","1.3",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.3","1.4",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.4","1.5",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.5","1.6",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.6","1.7",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.7","1.8",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.8","1.9",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","1.9","2.0",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.0","2.1",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.1","2.2",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.2","2.3",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.3","2.4",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.4","2.5",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.5","2.6",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.6","2.7",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.7","2.8",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.8","2.9",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","2.9","3.0",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.0","3.1",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.1","3.2",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.2","3.3",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.3","3.4",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.4","3.5",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.5","3.6",0.000270891826989811
"Alabama","Season peak percentage","Bin","percent","3.6","3.7",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.7","3.8",0.000270891826989811
"Alabama","Season peak percentage","Bin","percent","3.8","3.9",5.02803972861667e-05
"Alabama","Season peak percentage","Bin","percent","3.9","4.0",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","4.0","4.1",0.00313884041313719
"Alabama","Season peak percentage","Bin","percent","4.1","4.2",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","4.2","4.3",0.00490373185076635
"Alabama","Season peak percentage","Bin","percent","4.3","4.4",0.00733045757750644
"Alabama","Season peak percentage","Bin","percent","4.4","4.5",0.00953657187454289
"Alabama","Season peak percentage","Bin","percent","4.5","4.6",0.0143900233280231
"Alabama","Season peak percentage","Bin","percent","4.6","4.7",0.0176991947735777
"Alabama","Season peak percentage","Bin","percent","4.7","4.8",0.0210083662191324
"Alabama","Season peak percentage","Bin","percent","4.8","4.9",0.0291709891181673
"Alabama","Season peak percentage","Bin","percent","4.9","5.0",0.0285091548290563
"Alabama","Season peak percentage","Bin","percent","5.0","5.1",0.0408633948924604
"Alabama","Season peak percentage","Bin","percent","5.1","5.2",0.0344656634310547
"Alabama","Season peak percentage","Bin","percent","5.2","5.3",0.0399809491736459
"Alabama","Season peak percentage","Bin","percent","5.3","5.4",0.0366717777280912
"Alabama","Season peak percentage","Bin","percent","5.4","5.5",0.0426282863300896
"Alabama","Season peak percentage","Bin","percent","5.5","5.6",0.0364511662983875
"Alabama","Season peak percentage","Bin","percent","5.6","5.7",0.0327007719934256
"Alabama","Season peak percentage","Bin","percent","5.7","5.8",0.0276267091102418
"Alabama","Season peak percentage","Bin","percent","5.8","5.9",0.0307152691260928
"Alabama","Season peak percentage","Bin","percent","5.9","6.0",0.0285091548290563
"Alabama","Season peak percentage","Bin","percent","6.0","6.1",0.0225526462270579
"Alabama","Season peak percentage","Bin","percent","6.1","6.2",0.0263030405320199
"Alabama","Season peak percentage","Bin","percent","6.2","6.3",0.0190228633517996
"Alabama","Season peak percentage","Bin","percent","6.3","6.4",0.0207877547894288
"Alabama","Season peak percentage","Bin","percent","6.4","6.5",0.018802251922096
"Alabama","Season peak percentage","Bin","percent","6.5","6.6",0.015051857617134
"Alabama","Season peak percentage","Bin","percent","6.6","6.7",0.0176991947735777
"Alabama","Season peak percentage","Bin","percent","6.7","6.8",0.0161549147656522
"Alabama","Season peak percentage","Bin","percent","6.8","6.9",0.0172579719141705
"Alabama","Season peak percentage","Bin","percent","6.9","7.0",0.0124045204606903
"Alabama","Season peak percentage","Bin","percent","7.0","7.1",0.0143900233280231
"Alabama","Season peak percentage","Bin","percent","7.1","7.2",0.0143900233280231
"Alabama","Season peak percentage","Bin","percent","7.2","7.3",0.0130663547498012
"Alabama","Season peak percentage","Bin","percent","7.3","7.4",0.0143900233280231
"Alabama","Season peak percentage","Bin","percent","7.4","7.5",0.011301463312172
"Alabama","Season peak percentage","Bin","percent","7.5","7.6",0.00975718330424654
"Alabama","Season peak percentage","Bin","percent","7.6","7.7",0.0101984061636538
"Alabama","Season peak percentage","Bin","percent","7.7","7.8",0.011963297601283
"Alabama","Season peak percentage","Bin","percent","7.8","7.9",0.00865412615572831
"Alabama","Season peak percentage","Bin","percent","7.9","8.0",0.00821290329632102
"Alabama","Season peak percentage","Bin","percent","8.0","8.1",0.00953657187454289
"Alabama","Season peak percentage","Bin","percent","8.1","8.2",0.00931596044483925
"Alabama","Season peak percentage","Bin","percent","8.2","8.3",0.00688923471809915
"Alabama","Season peak percentage","Bin","percent","8.3","8.4",0.00666862328839551
"Alabama","Season peak percentage","Bin","percent","8.4","8.5",0.00865412615572831
"Alabama","Season peak percentage","Bin","percent","8.5","8.6",0.00843351472602467
"Alabama","Season peak percentage","Bin","percent","8.6","8.7",0.00644801185869186
"Alabama","Season peak percentage","Bin","percent","8.7","8.8",0.00402128613195177
"Alabama","Season peak percentage","Bin","percent","8.8","8.9",0.00534495471017364
"Alabama","Season peak percentage","Bin","percent","8.9","9.0",0.00402128613195177
"Alabama","Season peak percentage","Bin","percent","9.0","9.1",0.00666862328839551
"Alabama","Season peak percentage","Bin","percent","9.1","9.2",0.00666862328839551
"Alabama","Season peak percentage","Bin","percent","9.2","9.3",0.00446250899135906
"Alabama","Season peak percentage","Bin","percent","9.3","9.4",0.00534495471017364
"Alabama","Season peak percentage","Bin","percent","9.4","9.5",0.0071098461478028
"Alabama","Season peak percentage","Bin","percent","9.5","9.6",0.00490373185076635
"Alabama","Season peak percentage","Bin","percent","9.6","9.7",0.00424189756165542
"Alabama","Season peak percentage","Bin","percent","9.7","9.8",0.00666862328839551
"Alabama","Season peak percentage","Bin","percent","9.8","9.9",0.00313884041313719
"Alabama","Season peak percentage","Bin","percent","9.9","10.0",0.00358006327254448
"Alabama","Season peak percentage","Bin","percent","10.0","10.1",0.00512434328047
"Alabama","Season peak percentage","Bin","percent","10.1","10.2",0.00225639469432261
"Alabama","Season peak percentage","Bin","percent","10.2","10.3",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","10.3","10.4",0.00291822898343355
"Alabama","Season peak percentage","Bin","percent","10.4","10.5",0.00358006327254448
"Alabama","Season peak percentage","Bin","percent","10.5","10.6",0.00335945184284084
"Alabama","Season peak percentage","Bin","percent","10.6","10.7",0.0026976175537299
"Alabama","Season peak percentage","Bin","percent","10.7","10.8",0.00335945184284084
"Alabama","Season peak percentage","Bin","percent","10.8","10.9",0.0026976175537299
"Alabama","Season peak percentage","Bin","percent","10.9","11.0",0.00291822898343355
"Alabama","Season peak percentage","Bin","percent","11.0","11.1",0.00225639469432261
"Alabama","Season peak percentage","Bin","percent","11.1","11.2",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","11.2","11.3",0.00247700612402626
"Alabama","Season peak percentage","Bin","percent","11.3","11.4",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","11.4","11.5",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","11.5","11.6",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","11.6","11.7",0.000491503256693456
"Alabama","Season peak percentage","Bin","percent","11.7","11.8",0.00225639469432261
"Alabama","Season peak percentage","Bin","percent","11.8","11.9",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","11.9","12.0",0.00247700612402626
"Alabama","Season peak percentage","Bin","percent","12.0","12.1",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","12.1","12.2",0.000932726116100746
"Alabama","Season peak percentage","Bin","percent","12.2","12.3",0.00247700612402626
"Alabama","Season peak percentage","Bin","percent","12.3","12.4",0.00225639469432261
"Alabama","Season peak percentage","Bin","percent","12.4","12.5",0.00203578326461897
"Alabama","Season peak percentage","Bin","percent","12.5","12.6",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","12.6","12.7",0.000712114686397101
"Alabama","Season peak percentage","Bin","percent","12.7","12.8",0.00115333754580439
"Alabama","Season peak percentage","Bin","percent","12.8","12.9",0.00137394897550803
"Alabama","Season peak percentage","Bin","percent","12.9","13.0",0.00115333754580439
"Alabama","Season peak percentage","Bin","percent","13.0","100.0",0.018802251922096
"Alabama","1 wk ahead","Point","percent",NA,NA,4.5
"Alabama","1 wk ahead","Bin","percent","0.0","0.1",5.02803972861667e-05
