Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,value
Alabama,Season peak week,Point,week,NA,NA,7.4
Alabama,Season peak week,Bin,week,40,41,0.00129342
Alabama,Season peak week,Bin,week,41,42,0.00129342
Alabama,Season peak week,Bin,week,42,43,0.00129342
Alabama,Season peak week,Bin,week,43,44,0.00129342
Alabama,Season peak week,Bin,week,44,45,0.00129342
Alabama,Season peak week,Bin,week,45,46,0.00129342
Alabama,Season peak week,Bin,week,46,47,0.00129342
Alabama,Season peak week,Bin,week,47,48,0.00129342
Alabama,Season peak week,Bin,week,48,49,0.00129342
Alabama,Season peak week,Bin,week,49,50,0.00129342
Alabama,Season peak week,Bin,week,50,51,0.00129342
Alabama,Season peak week,Bin,week,51,52,0.00129342
Alabama,Season peak week,Bin,week,52,53,0.00129342
Alabama,Season peak week,Bin,week,1,2,0.00129342
Alabama,Season peak week,Bin,week,2,3,0.00129342
Alabama,Season peak week,Bin,week,3,4,0.00129342
Alabama,Season peak week,Bin,week,4,5,0.00129342
Alabama,Season peak week,Bin,week,5,6,0.00129342
Alabama,Season peak week,Bin,week,6,7,0.00129342
Alabama,Season peak week,Bin,week,7,8,0.718183051
Alabama,Season peak week,Bin,week,8,9,0.083972791
Alabama,Season peak week,Bin,week,9,10,0.117402986
Alabama,Season peak week,Bin,week,10,11,0.024493192
Alabama,Season peak week,Bin,week,11,12,0.007816393
Alabama,Season peak week,Bin,week,12,13,0.005697949
Alabama,Season peak week,Bin,week,13,14,0.003953561
Alabama,Season peak week,Bin,week,14,15,0.002911558
Alabama,Season peak week,Bin,week,15,16,0.002223886
Alabama,Season peak week,Bin,week,16,17,0.001799197
Alabama,Season peak week,Bin,week,17,18,0.001742616
Alabama,Season peak week,Bin,week,18,19,0.001742616
Alabama,Season peak week,Bin,week,19,20,0.001742616
Alabama,Season peak week,Bin,week,20,21,0.001742616
Alabama,Season peak percentage,Point,percent,NA,NA,8.98
Alabama,Season peak percentage,Bin,percent,0,0.1,0.000297803
Alabama,Season peak percentage,Bin,percent,0.1,0.2,0.000301893
Alabama,Season peak percentage,Bin,percent,0.2,0.3,0.000303365
Alabama,Season peak percentage,Bin,percent,0.3,0.4,0.000303906
Alabama,Season peak percentage,Bin,percent,0.4,0.5,0.000304294
Alabama,Season peak percentage,Bin,percent,0.5,0.6,0.000304669
Alabama,Season peak percentage,Bin,percent,0.6,0.7,0.000305052
Alabama,Season peak percentage,Bin,percent,0.7,0.8,0.000305382
Alabama,Season peak percentage,Bin,percent,0.8,0.9,0.000305675
Alabama,Season peak percentage,Bin,percent,0.9,1,0.000305956
Alabama,Season peak percentage,Bin,percent,1,1.1,0.000306199
Alabama,Season peak percentage,Bin,percent,1.1,1.2,0.000306458
Alabama,Season peak percentage,Bin,percent,1.2,1.3,0.000306639
Alabama,Season peak percentage,Bin,percent,1.3,1.4,0.000306821
Alabama,Season peak percentage,Bin,percent,1.4,1.5,0.000306986
Alabama,Season peak percentage,Bin,percent,1.5,1.6,0.000307139
Alabama,Season peak percentage,Bin,percent,1.6,1.7,0.000307215
Alabama,Season peak percentage,Bin,percent,1.7,1.8,0.000307318
Alabama,Season peak percentage,Bin,percent,1.8,1.9,0.000307404
Alabama,Season peak percentage,Bin,percent,1.9,2,0.000307496
Alabama,Season peak percentage,Bin,percent,2,2.1,0.000307561
Alabama,Season peak percentage,Bin,percent,2.1,2.2,0.00030757
Alabama,Season peak percentage,Bin,percent,2.2,2.3,0.000307594
Alabama,Season peak percentage,Bin,percent,2.3,2.4,0.000307636
Alabama,Season peak percentage,Bin,percent,2.4,2.5,0.000307683
