Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,value
Alabama,Season peak week,Point,week,NA,NA,6.25
Alabama,Season peak week,Bin,week,40,41,0.000269974
Alabama,Season peak week,Bin,week,41,42,0.000269974
Alabama,Season peak week,Bin,week,42,43,0.000269974
Alabama,Season peak week,Bin,week,43,44,0.000269974
Alabama,Season peak week,Bin,week,44,45,0.000269974
Alabama,Season peak week,Bin,week,45,46,0.000269974
Alabama,Season peak week,Bin,week,46,47,0.000269974
Alabama,Season peak week,Bin,week,47,48,0.000269974
Alabama,Season peak week,Bin,week,48,49,0.000269974
Alabama,Season peak week,Bin,week,49,50,0.000269974
Alabama,Season peak week,Bin,week,50,51,0.000269974
Alabama,Season peak week,Bin,week,51,52,0.000269974
Alabama,Season peak week,Bin,week,52,53,0.000306028
Alabama,Season peak week,Bin,week,1,2,0.021149344
Alabama,Season peak week,Bin,week,2,3,0.000269974
Alabama,Season peak week,Bin,week,3,4,0.000269974
Alabama,Season peak week,Bin,week,4,5,0.004910909
Alabama,Season peak week,Bin,week,5,6,0.014928081
Alabama,Season peak week,Bin,week,6,7,0.565931722
Alabama,Season peak week,Bin,week,7,8,0.218049261
Alabama,Season peak week,Bin,week,8,9,0.068769578
Alabama,Season peak week,Bin,week,9,10,0.028197756
Alabama,Season peak week,Bin,week,10,11,0.022427378
Alabama,Season peak week,Bin,week,11,12,0.015703246
Alabama,Season peak week,Bin,week,12,13,0.014521358
Alabama,Season peak week,Bin,week,13,14,0.007616191
Alabama,Season peak week,Bin,week,14,15,0.003689216
Alabama,Season peak week,Bin,week,15,16,0.002325763
Alabama,Season peak week,Bin,week,16,17,0.00168485
Alabama,Season peak week,Bin,week,17,18,0.001441612
Alabama,Season peak week,Bin,week,18,19,0.00149026
Alabama,Season peak week,Bin,week,19,20,0.001465936
Alabama,Season peak week,Bin,week,20,21,0.001611879
Alabama,Season peak percentage,Point,percent,NA,NA,8.547362795
Alabama,Season peak percentage,Bin,percent,0,0.1,2.69E-04
Alabama,Season peak percentage,Bin,percent,0.1,0.2,2.71E-04
Alabama,Season peak percentage,Bin,percent,0.2,0.3,2.72E-04
Alabama,Season peak percentage,Bin,percent,0.3,0.4,2.73E-04
Alabama,Season peak percentage,Bin,percent,0.4,0.5,2.74E-04
Alabama,Season peak percentage,Bin,percent,0.5,0.6,2.74E-04
Alabama,Season peak percentage,Bin,percent,0.6,0.7,2.75E-04
Alabama,Season peak percentage,Bin,percent,0.7,0.8,2.75E-04
Alabama,Season peak percentage,Bin,percent,0.8,0.9,2.75E-04
Alabama,Season peak percentage,Bin,percent,0.9,1,2.76E-04
Alabama,Season peak percentage,Bin,percent,1,1.1,2.76E-04
Alabama,Season peak percentage,Bin,percent,1.1,1.2,2.76E-04
Alabama,Season peak percentage,Bin,percent,1.2,1.3,2.76E-04
Alabama,Season peak percentage,Bin,percent,1.3,1.4,2.76E-04
Alabama,Season peak percentage,Bin,percent,1.4,1.5,2.76E-04
Alabama,Season peak percentage,Bin,percent,1.5,1.6,2.77E-04
Alabama,Season peak percentage,Bin,percent,1.6,1.7,2.77E-04
Alabama,Season peak percentage,Bin,percent,1.7,1.8,2.77E-04
Alabama,Season peak percentage,Bin,percent,1.8,1.9,2.77E-04
Alabama,Season peak percentage,Bin,percent,1.9,2,2.77E-04
Alabama,Season peak percentage,Bin,percent,2,2.1,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.1,2.2,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.2,2.3,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.3,2.4,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.4,2.5,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.5,2.6,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.6,2.7,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.7,2.8,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.8,2.9,2.77E-04
Alabama,Season peak percentage,Bin,percent,2.9,3,2.77E-04
Alabama,Season peak percentage,Bin,percent,3,3.1,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.1,3.2,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.2,3.3,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.3,3.4,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.4,3.5,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.5,3.6,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.6,3.7,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.7,3.8,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.8,3.9,2.77E-04
Alabama,Season peak percentage,Bin,percent,3.9,4,2.77E-04
Alabama,Season peak percentage,Bin,percent,4,4.1,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.1,4.2,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.2,4.3,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.3,4.4,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.4,4.5,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.5,4.6,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.6,4.7,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.7,4.8,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.8,4.9,2.77E-04
Alabama,Season peak percentage,Bin,percent,4.9,5,2.77E-04
Alabama,Season peak percentage,Bin,percent,5,5.1,2.77E-04
Alabama,Season peak percentage,Bin,percent,5.1,5.2,2.77E-04
Alabama,Season peak percentage,Bin,percent,5.2,5.3,2.77E-04
Alabama,Season peak percentage,Bin,percent,5.3,5.4,2.77E-04
Alabama,Season peak percentage,Bin,percent,5.4,5.5,2.77E-04
Alabama,Season peak percentage,Bin,percent,5.5,5.6,2.78E-04
Alabama,Season peak percentage,Bin,percent,5.6,5.7,2.78E-04
Alabama,Season peak percentage,Bin,percent,5.7,5.8,5.10E-03
Alabama,Season peak percentage,Bin,percent,5.8,5.9,5.53E-03
Alabama,Season peak percentage,Bin,percent,5.9,6,5.29E-03
Alabama,Season peak percentage,Bin,percent,6,6.1,6.56E-03
Alabama,Season peak percentage,Bin,percent,6.1,6.2,2.09E-02
Alabama,Season peak percentage,Bin,percent,6.2,6.3,3.95E-03
Alabama,Season peak percentage,Bin,percent,6.3,6.4,1.07E-03
Alabama,Season peak percentage,Bin,percent,6.4,6.5,2.87E-02
Alabama,Season peak percentage,Bin,percent,6.5,6.6,2.86E-04
Alabama,Season peak percentage,Bin,percent,6.6,6.7,2.15E-02
Alabama,Season peak percentage,Bin,percent,6.7,6.8,2.20E-02
Alabama,Season peak percentage,Bin,percent,6.8,6.9,2.66E-02
Alabama,Season peak percentage,Bin,percent,6.9,7,1.99E-02
Alabama,Season peak percentage,Bin,percent,7,7.1,7.34E-03
Alabama,Season peak percentage,Bin,percent,7.1,7.2,1.47E-02
Alabama,Season peak percentage,Bin,percent,7.2,7.3,8.51E-03
Alabama,Season peak percentage,Bin,percent,7.3,7.4,1.61E-02
Alabama,Season peak percentage,Bin,percent,7.4,7.5,0.014389036
Alabama,Season peak percentage,Bin,percent,7.5,7.6,0.004140819
Alabama,Season peak percentage,Bin,percent,7.6,7.7,0.008666595
Alabama,Season peak percentage,Bin,percent,7.7,7.8,0.003607674
Alabama,Season peak percentage,Bin,percent,7.8,7.9,0.004154192
Alabama,Season peak percentage,Bin,percent,7.9,8,0.003826989
Alabama,Season peak percentage,Bin,percent,8,8.1,0.001977236
Alabama,Season peak percentage,Bin,percent,8.1,8.2,0.002898259
Alabama,Season peak percentage,Bin,percent,8.2,8.3,0.003580102
Alabama,Season peak percentage,Bin,percent,8.3,8.4,0.009237314
Alabama,Season peak percentage,Bin,percent,8.4,8.5,0.018000135
Alabama,Season peak percentage,Bin,percent,8.5,8.6,0.027650969
Alabama,Season peak percentage,Bin,percent,8.6,8.7,0.039020807
Alabama,Season peak percentage,Bin,percent,8.7,8.8,0.046633103
Alabama,Season peak percentage,Bin,percent,8.8,8.9,0.045867272
Alabama,Season peak percentage,Bin,percent,8.9,9,0.044406678
Alabama,Season peak percentage,Bin,percent,9,9.1,0.039489752
Alabama,Season peak percentage,Bin,percent,9.1,9.2,0.031285009
Alabama,Season peak percentage,Bin,percent,9.2,9.3,0.023138094
Alabama,Season peak percentage,Bin,percent,9.3,9.4,0.015716179
Alabama,Season peak percentage,Bin,percent,9.4,9.5,0.330689873
Alabama,Season peak percentage,Bin,percent,9.5,9.6,0.004341922
Alabama,Season peak percentage,Bin,percent,9.6,9.7,0.003537868
Alabama,Season peak percentage,Bin,percent,9.7,9.8,0.002056555
Alabama,Season peak percentage,Bin,percent,9.8,9.9,0.001977393
Alabama,Season peak percentage,Bin,percent,9.9,10,0.001718961
Alabama,Season peak percentage,Bin,percent,10,10.1,0.001858518
Alabama,Season peak percentage,Bin,percent,10.1,10.2,0.002107648
Alabama,Season peak percentage,Bin,percent,10.2,10.3,0.001270002
Alabama,Season peak percentage,Bin,percent,10.3,10.4,0.001791299
Alabama,Season peak percentage,Bin,percent,10.4,10.5,0.00108636
Alabama,Season peak percentage,Bin,percent,10.5,10.6,0.000965632
Alabama,Season peak percentage,Bin,percent,10.6,10.7,0.001137708
Alabama,Season peak percentage,Bin,percent,10.7,10.8,0.001144825
Alabama,Season peak percentage,Bin,percent,10.8,10.9,0.000985381
Alabama,Season peak percentage,Bin,percent,10.9,11,0.000849791
Alabama,Season peak percentage,Bin,percent,11,11.1,0.000765587
Alabama,Season peak percentage,Bin,percent,11.1,11.2,0.001169159
Alabama,Season peak percentage,Bin,percent,11.2,11.3,0.000696829
Alabama,Season peak percentage,Bin,percent,11.3,11.4,0.001154176
Alabama,Season peak percentage,Bin,percent,11.4,11.5,0.000639933
Alabama,Season peak percentage,Bin,percent,11.5,11.6,0.000810686
