location,target,type,unit,bin_start_incl,bin_end_notincl,value
Alabama,Season peak week,Point,week,NA,NA,1
Alabama,Season peak week,Bin,week,40,41.0,0.0027626993180095843
Alabama,Season peak week,Bin,week,41,42.0,0.0028033979074419046
Alabama,Season peak week,Bin,week,42,43.0,0.0028495258416695118
Alabama,Season peak week,Bin,week,43,44.0,0.0033040433056058804
Alabama,Season peak week,Bin,week,44,45.0,0.010631637413755338
Alabama,Season peak week,Bin,week,45,46.0,0.008523321105484632
Alabama,Season peak week,Bin,week,46,47.0,0.009476950304956233
Alabama,Season peak week,Bin,week,47,48.0,0.035411371406212776
Alabama,Season peak week,Bin,week,48,49.0,0.01419367259896926
Alabama,Season peak week,Bin,week,49,50.0,0.050554035371076216
Alabama,Season peak week,Bin,week,50,51.0,0.04640033664260552
Alabama,Season peak week,Bin,week,51,52.0,0.042115803205852016
Alabama,Season peak week,Bin,week,52,53.0,0.23097340871065775
Alabama,Season peak week,Bin,week,1,2.0,0.0514164338720726
Alabama,Season peak week,Bin,week,2,3.0,0.034709345758449264
Alabama,Season peak week,Bin,week,3,4.0,0.04950914455194255
Alabama,Season peak week,Bin,week,4,5.0,0.052032045971435126
Alabama,Season peak week,Bin,week,5,6.0,0.05004745231376479
Alabama,Season peak week,Bin,week,6,7.0,0.05647291452096907
Alabama,Season peak week,Bin,week,7,8.0,0.048689467344764426
Alabama,Season peak week,Bin,week,8,9.0,0.04432305125699722
Alabama,Season peak week,Bin,week,9,10.0,0.01837083905751238
Alabama,Season peak week,Bin,week,10,11.0,0.01962628321955162
Alabama,Season peak week,Bin,week,11,12.0,0.022369125506129618
Alabama,Season peak week,Bin,week,12,13.0,0.009669341875725022
Alabama,Season peak week,Bin,week,13,14.0,0.007225940175902928
Alabama,Season peak week,Bin,week,14,15.0,0.006012684764437827
Alabama,Season peak week,Bin,week,15,16.0,0.006542939648589285
Alabama,Season peak week,Bin,week,16,17.0,0.005180790874410013
Alabama,Season peak week,Bin,week,17,18.0,0.0054113048869747155
Alabama,Season peak week,Bin,week,18,19.0,0.006060353741115175
Alabama,Season peak week,Bin,week,19,20.0,0.00981310244058008
Alabama,Season peak week,Bin,week,20,21.0,0.03651724937209392
Alabama,Season peak percentage,Point,percent,NA,NA,7.5
Alabama,Season peak percentage,Bin,percent,0,0.1,7.971956457762428e-4
Alabama,Season peak percentage,Bin,percent,0.1,0.2,8.011904549618284e-4
Alabama,Season peak percentage,Bin,percent,0.2,0.3,8.056749499077464e-4
Alabama,Season peak percentage,Bin,percent,0.3,0.4,8.098421717856865e-4
Alabama,Season peak percentage,Bin,percent,0.4,0.5,8.145605416735855e-4
Alabama,Season peak percentage,Bin,percent,0.5,0.6,8.194763657703669e-4
Alabama,Season peak percentage,Bin,percent,0.6,0.7,8.241902754815085e-4
Alabama,Season peak percentage,Bin,percent,0.7,0.8,8.299151149369689e-4
Alabama,Season peak percentage,Bin,percent,0.8,0.9,8.353051810799932e-4
Alabama,Season peak percentage,Bin,percent,0.9,1.0,8.409498518116274e-4
Alabama,Season peak percentage,Bin,percent,1,1.1,8.475574269127574e-4
Alabama,Season peak percentage,Bin,percent,1.1,1.2,8.538781985208046e-4
Alabama,Season peak percentage,Bin,percent,1.2,1.3,8.606494156331617e-4
Alabama,Season peak percentage,Bin,percent,1.3,1.4,8.682873616424603e-4
Alabama,Season peak percentage,Bin,percent,1.4,1.5,8.75499621359566e-4
Alabama,Season peak percentage,Bin,percent,1.5,1.6,8.840194003079631e-4
Alabama,Season peak percentage,Bin,percent,1.6,1.7,8.925386464406917e-4
Alabama,Season peak percentage,Bin,percent,1.7,1.8,9.450399323398173e-4
Alabama,Season peak percentage,Bin,percent,1.8,1.9,9.549649183495902e-4
Alabama,Season peak percentage,Bin,percent,1.9,2.0,0.002132803545413929
Alabama,Season peak percentage,Bin,percent,2,2.1,0.0017305368978876659
Alabama,Season peak percentage,Bin,percent,2.1,2.2,0.001961805978319945
Alabama,Season peak percentage,Bin,percent,2.2,2.3,0.002088922278389038
Alabama,Season peak percentage,Bin,percent,2.3,2.4,0.002293457657869753
Alabama,Season peak percentage,Bin,percent,2.4,2.5,0.002391830874657042
Alabama,Season peak percentage,Bin,percent,2.5,2.6,0.0022456185907354983
Alabama,Season peak percentage,Bin,percent,2.6,2.7,0.0024375956212705245
Alabama,Season peak percentage,Bin,percent,2.7,2.8,0.0024738266755975733
Alabama,Season peak percentage,Bin,percent,2.8,2.9,0.002858685465856736
Alabama,Season peak percentage,Bin,percent,2.9,3.0,0.003561250803703992
Alabama,Season peak percentage,Bin,percent,3,3.1,0.005809131080212396
Alabama,Season peak percentage,Bin,percent,3.1,3.2,0.008753585373710212
Alabama,Season peak percentage,Bin,percent,3.2,3.3,0.00927345080052628
Alabama,Season peak percentage,Bin,percent,3.3,3.4,0.008354828999393618
Alabama,Season peak percentage,Bin,percent,3.4,3.5,0.008043470434741877
Alabama,Season peak percentage,Bin,percent,3.5,3.6,0.007630084777064021
Alabama,Season peak percentage,Bin,percent,3.6,3.7,0.008458471816827448
Alabama,Season peak percentage,Bin,percent,3.7,3.8,0.010193275844517975
Alabama,Season peak percentage,Bin,percent,3.8,3.9,0.008596841155628386
Alabama,Season peak percentage,Bin,percent,3.9,4.0,0.007404508666368596
Alabama,Season peak percentage,Bin,percent,4,4.1,0.008504867813000852
Alabama,Season peak percentage,Bin,percent,4.1,4.2,0.008674526591063013
Alabama,Season peak percentage,Bin,percent,4.2,4.3,0.008833270634198379
Alabama,Season peak percentage,Bin,percent,4.3,4.4,0.009605885914663418
Alabama,Season peak percentage,Bin,percent,4.4,4.5,0.008662932009314277
Alabama,Season peak percentage,Bin,percent,4.5,4.6,0.008492725935022503
Alabama,Season peak percentage,Bin,percent,4.6,4.7,0.008178784907931433
Alabama,Season peak percentage,Bin,percent,4.7,4.8,0.008983322595291643
Alabama,Season peak percentage,Bin,percent,4.8,4.9,0.009810743441873292
Alabama,Season peak percentage,Bin,percent,4.9,5.0,0.009027179307736204
Alabama,Season peak percentage,Bin,percent,5,5.1,0.009609285497049052
Alabama,Season peak percentage,Bin,percent,5.1,5.2,0.009141681695308667
Alabama,Season peak percentage,Bin,percent,5.2,5.3,0.009719599047511246
Alabama,Season peak percentage,Bin,percent,5.3,5.4,0.008613486478736016
Alabama,Season peak percentage,Bin,percent,5.4,5.5,0.007923909785112974
Alabama,Season peak percentage,Bin,percent,5.5,5.6,0.0102553346490072
Alabama,Season peak percentage,Bin,percent,5.6,5.7,0.011531458948720074
Alabama,Season peak percentage,Bin,percent,5.7,5.8,0.010057028874719914
Alabama,Season peak percentage,Bin,percent,5.8,5.9,0.008979876017406548
Alabama,Season peak percentage,Bin,percent,5.9,6.0,0.00966093557261841
Alabama,Season peak percentage,Bin,percent,6,6.1,0.010838533500550454
Alabama,Season peak percentage,Bin,percent,6.1,6.2,0.010354259257119946
Alabama,Season peak percentage,Bin,percent,6.2,6.3,0.009905836001603809
Alabama,Season peak percentage,Bin,percent,6.3,6.4,0.009892226942349291
Alabama,Season peak percentage,Bin,percent,6.4,6.5,0.009647651324763189
Alabama,Season peak percentage,Bin,percent,6.5,6.6,0.027007936699511802
Alabama,Season peak percentage,Bin,percent,6.6,6.7,0.010469753118391023
Alabama,Season peak percentage,Bin,percent,6.7,6.8,0.018040985731712835
Alabama,Season peak percentage,Bin,percent,6.8,6.9,0.011829243595401159
Alabama,Season peak percentage,Bin,percent,6.9,7.0,0.010150429099746429
Alabama,Season peak percentage,Bin,percent,7,7.1,0.00915381201177918
Alabama,Season peak percentage,Bin,percent,7.1,7.2,0.01054235021485161
Alabama,Season peak percentage,Bin,percent,7.2,7.3,0.010539058855204921
Alabama,Season peak percentage,Bin,percent,7.3,7.4,0.009872350014981266
Alabama,Season peak percentage,Bin,percent,7.4,7.5,0.01858349418771805
Alabama,Season peak percentage,Bin,percent,7.5,7.6,0.023503326101004595
Alabama,Season peak percentage,Bin,percent,7.6,7.7,0.00983863177815794
Alabama,Season peak percentage,Bin,percent,7.7,7.8,0.021691161691250824
Alabama,Season peak percentage,Bin,percent,7.8,7.9,0.009529026599049726
Alabama,Season peak percentage,Bin,percent,7.9,8.0,0.011240220939193636
Alabama,Season peak percentage,Bin,percent,8,8.1,0.009973926605829802
Alabama,Season peak percentage,Bin,percent,8.1,8.2,0.01054873246355849
Alabama,Season peak percentage,Bin,percent,8.2,8.3,0.009384936474136801
Alabama,Season peak percentage,Bin,percent,8.3,8.4,0.009005099840413342
Alabama,Season peak percentage,Bin,percent,8.4,8.5,0.009354826711997739
Alabama,Season peak percentage,Bin,percent,8.5,8.6,0.009179511606531217
Alabama,Season peak percentage,Bin,percent,8.6,8.7,0.009773173940724165
Alabama,Season peak percentage,Bin,percent,8.7,8.8,0.009344996303777392
Alabama,Season peak percentage,Bin,percent,8.8,8.9,0.009654558563411396
Alabama,Season peak percentage,Bin,percent,8.9,9.0,0.009230680142856875
Alabama,Season peak percentage,Bin,percent,9,9.1,0.008092014656060883
Alabama,Season peak percentage,Bin,percent,9.1,9.2,0.008592500947053227
Alabama,Season peak percentage,Bin,percent,9.2,9.3,0.008768743747236806
Alabama,Season peak percentage,Bin,percent,9.3,9.4,0.008926694592070157
Alabama,Season peak percentage,Bin,percent,9.4,9.5,0.008404374427771871
Alabama,Season peak percentage,Bin,percent,9.5,9.6,0.008128083079030131
Alabama,Season peak percentage,Bin,percent,9.6,9.7,0.008713764487735937
Alabama,Season peak percentage,Bin,percent,9.7,9.8,0.00723538034597839
Alabama,Season peak percentage,Bin,percent,9.8,9.9,0.006426235803988749
Alabama,Season peak percentage,Bin,percent,9.9,10.0,0.00691682381938983
Alabama,Season peak percentage,Bin,percent,10,10.1,0.006889493786105627
Alabama,Season peak percentage,Bin,percent,10.1,10.2,0.006218255657540189
Alabama,Season peak percentage,Bin,percent,10.2,10.3,0.005793757765020414
Alabama,Season peak percentage,Bin,percent,10.3,10.4,0.0056887507350181455
Alabama,Season peak percentage,Bin,percent,10.4,10.5,0.005760041420126006
Alabama,Season peak percentage,Bin,percent,10.5,10.6,0.005342166670522047
Alabama,Season peak percentage,Bin,percent,10.6,10.7,0.005120640088802404
Alabama,Season peak percentage,Bin,percent,10.7,10.8,0.005076464154640468
Alabama,Season peak percentage,Bin,percent,10.8,10.9,0.005131716853684506
Alabama,Season peak percentage,Bin,percent,10.9,11.0,0.0048777986288627805
Alabama,Season peak percentage,Bin,percent,11,11.1,0.004584276636309269
Alabama,Season peak percentage,Bin,percent,11.1,11.2,0.004426475309313634
Alabama,Season peak percentage,Bin,percent,11.2,11.3,0.004406478772549819
Alabama,Season peak percentage,Bin,percent,11.3,11.4,0.004259241763077394
Alabama,Season peak percentage,Bin,percent,11.4,11.5,0.004157394823854523
Alabama,Season peak percentage,Bin,percent,11.5,11.6,0.00400913570292599
Alabama,Season peak percentage,Bin,percent,11.6,11.7,0.0040541290723113774
Alabama,Season peak percentage,Bin,percent,11.7,11.8,0.0036616166698637577
Alabama,Season peak percentage,Bin,percent,11.8,11.9,0.004023224715862629
Alabama,Season peak percentage,Bin,percent,11.9,12.0,0.003857742596924573
Alabama,Season peak percentage,Bin,percent,12,12.1,0.0037495328811284635
Alabama,Season peak percentage,Bin,percent,12.1,12.2,0.012955912019018566
Alabama,Season peak percentage,Bin,percent,12.2,12.3,0.0035427622786215686
Alabama,Season peak percentage,Bin,percent,12.3,12.4,0.0032640148340428565
Alabama,Season peak percentage,Bin,percent,12.4,12.5,0.003365515173753333
Alabama,Season peak percentage,Bin,percent,12.5,12.6,0.0031987942826579166
Alabama,Season peak percentage,Bin,percent,12.6,12.7,0.0030407337812319636
Alabama,Season peak percentage,Bin,percent,12.7,12.8,0.0030651767072031716
Alabama,Season peak percentage,Bin,percent,12.8,12.9,0.003163391955314852
Alabama,Season peak percentage,Bin,percent,12.9,13.0,0.0028576866823293162
Alabama,Season peak percentage,Bin,percent,13,100.0,0.11305076839924588
Alabama,1 wk ahead,Point,percent,NA,NA,2.5
Alabama,1 wk ahead,Bin,percent,0,0.1,3.478888093428591e-4
Alabama,1 wk ahead,Bin,percent,0.1,0.2,3.800898602333602e-4
Alabama,1 wk ahead,Bin,percent,0.2,0.3,4.171005900285267e-4
Alabama,1 wk ahead,Bin,percent,0.3,0.4,4.5624978925046044e-4
Alabama,1 wk ahead,Bin,percent,0.4,0.5,5.094915689444141e-4
Alabama,1 wk ahead,Bin,percent,0.5,0.6,8.027010117623287e-4
Alabama,1 wk ahead,Bin,percent,0.6,0.7,8.959025850227582e-4
Alabama,1 wk ahead,Bin,percent,0.7,0.8,9.957523741502467e-4
Alabama,1 wk ahead,Bin,percent,0.8,0.9,0.0011156072296336296
Alabama,1 wk ahead,Bin,percent,0.9,1.0,0.0012807909693695516
Alabama,1 wk ahead,Bin,percent,1,1.1,0.0014512942592441423
Alabama,1 wk ahead,Bin,percent,1.1,1.2,0.0018919546830990066
Alabama,1 wk ahead,Bin,percent,1.2,1.3,0.002509343472572886
Alabama,1 wk ahead,Bin,percent,1.3,1.4,0.0033975930388294912
Alabama,1 wk ahead,Bin,percent,1.4,1.5,0.004496865223389244
Alabama,1 wk ahead,Bin,percent,1.5,1.6,0.006153156738479379
Alabama,1 wk ahead,Bin,percent,1.6,1.7,0.010735550928571034
Alabama,1 wk ahead,Bin,percent,1.7,1.8,0.012031063530861683
Alabama,1 wk ahead,Bin,percent,1.8,1.9,0.02135930731588679
Alabama,1 wk ahead,Bin,percent,1.9,2.0,0.03201736026452693
Alabama,1 wk ahead,Bin,percent,2,2.1,0.04668460186843791
Alabama,1 wk ahead,Bin,percent,2.1,2.2,0.06315792599812035
Alabama,1 wk ahead,Bin,percent,2.2,2.3,0.07713862396957363
Alabama,1 wk ahead,Bin,percent,2.3,2.4,0.07957629799583435
Alabama,1 wk ahead,Bin,percent,2.4,2.5,0.07486464087855124
Alabama,1 wk ahead,Bin,percent,2.5,2.6,0.07377769117620754
Alabama,1 wk ahead,Bin,percent,2.6,2.7,0.07234565647070061
Alabama,1 wk ahead,Bin,percent,2.7,2.8,0.07150034824462928
Alabama,1 wk ahead,Bin,percent,2.8,2.9,0.05832117751117369
Alabama,1 wk ahead,Bin,percent,2.9,3.0,0.04444788273614343
Alabama,1 wk ahead,Bin,percent,3,3.1,0.0340011193696712
Alabama,1 wk ahead,Bin,percent,3.1,3.2,0.0240855123701824
Alabama,1 wk ahead,Bin,percent,3.2,3.3,0.020552884219451978
Alabama,1 wk ahead,Bin,percent,3.3,3.4,0.02058746288228853
Alabama,1 wk ahead,Bin,percent,3.4,3.5,0.016829102819082738
Alabama,1 wk ahead,Bin,percent,3.5,3.6,0.011916575191467587
Alabama,1 wk ahead,Bin,percent,3.6,3.7,0.008600928119371506
Alabama,1 wk ahead,Bin,percent,3.7,3.8,0.007823943340650872
Alabama,1 wk ahead,Bin,percent,3.8,3.9,0.007179588636956325
Alabama,1 wk ahead,Bin,percent,3.9,4.0,0.006528038010132755
Alabama,1 wk ahead,Bin,percent,4,4.1,0.006040072568109326
Alabama,1 wk ahead,Bin,percent,4.1,4.2,0.006696748411002606
Alabama,1 wk ahead,Bin,percent,4.2,4.3,0.0050538632776613215
Alabama,1 wk ahead,Bin,percent,4.3,4.4,0.004696057495662931
Alabama,1 wk ahead,Bin,percent,4.4,4.5,0.004312686509285806
Alabama,1 wk ahead,Bin,percent,4.5,4.6,0.003904149735150263
Alabama,1 wk ahead,Bin,percent,4.6,4.7,0.003528455375539083
Alabama,1 wk ahead,Bin,percent,4.7,4.8,0.0033032526579438158
Alabama,1 wk ahead,Bin,percent,4.8,4.9,0.002979874650766571
Alabama,1 wk ahead,Bin,percent,4.9,5.0,0.0027223887066255784
