"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.00244039063450157
"Alabama","Season peak week","week","Bin","41","42",0.00244039063450157
"Alabama","Season peak week","week","Bin","42","43",0.00244039063450157
"Alabama","Season peak week","week","Bin","43","44",0.00244039063450157
"Alabama","Season peak week","week","Bin","44","45",0.00244039063450157
"Alabama","Season peak week","week","Bin","45","46",0.00244039063450157
"Alabama","Season peak week","week","Bin","46","47",0.00244039063450157
"Alabama","Season peak week","week","Bin","47","48",0.00244039063450157
"Alabama","Season peak week","week","Bin","48","49",0.00244039063450157
"Alabama","Season peak week","week","Bin","49","50",0.00244039063450157
"Alabama","Season peak week","week","Bin","50","51",0.00244039063450157
"Alabama","Season peak week","week","Bin","51","52",0.00358820093293224
"Alabama","Season peak week","week","Bin","52","53",0.0309787080544641
"Alabama","Season peak week","week","Bin","1","2",0.810281210673115
"Alabama","Season peak week","week","Bin","2","3",0.015280403972905
"Alabama","Season peak week","week","Bin","3","4",0.00875279227572599
"Alabama","Season peak week","week","Bin","4","5",0.0106674027735247
"Alabama","Season peak week","week","Bin","5","6",0.0089027723147208
"Alabama","Season peak week","week","Bin","6","7",0.0125821032713469
"Alabama","Season peak week","week","Bin","7","8",0.014217303696499
"Alabama","Season peak week","week","Bin","8","9",0.0089027723147208
"Alabama","Season peak week","week","Bin","9","10",0.0044058311455161
"Alabama","Season peak week","week","Bin","10","11",0.0117645030587708
"Alabama","Season peak week","week","Bin","11","12",0.0105380027398807
"Alabama","Season peak week","week","Bin","12","13",0.00277057072034839
"Alabama","Season peak week","week","Bin","13","14",0.00244039063450157
"Alabama","Season peak week","week","Bin","14","15",0.00244039063450157
"Alabama","Season peak week","week","Bin","15","16",0.00244039063450157
"Alabama","Season peak week","week","Bin","16","17",0.00244039063450157
"Alabama","Season peak week","week","Bin","17","18",0.00244039063450157
"Alabama","Season peak week","week","Bin","18","19",0.00244039063450157
"Alabama","Season peak week","week","Bin","19","20",0.00244039063450157
"Alabama","Season peak week","week","Bin","20","21",0.00244039063450157
"Alabama","Season peak percentage","percent","Bin","0","0.100000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.100000","0.200000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.200000","0.300000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.300000","0.400000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.400000","0.500000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.500000","0.600000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.600000","0.700000",0.00221202109716246
"Alabama","Season peak percentage","percent","Bin","0.700000","0.800000",0.00221202109716246
