"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"District of Columbia","Season peak week","week","Bin","40","41",0.00236232632723343
"District of Columbia","Season peak week","week","Bin","41","42",0.0032656721841412
"District of Columbia","Season peak week","week","Bin","42","43",0.00451220083853278
"District of Columbia","Season peak week","week","Bin","43","44",0.00620669230402835
"District of Columbia","Season peak week","week","Bin","44","45",0.00846948653895284
"District of Columbia","Season peak week","week","Bin","45","46",0.0114285465019136
"District of Columbia","Season peak week","week","Bin","46","47",0.0152045629822487
"District of Columbia","Season peak week","week","Bin","47","48",0.0198879055797374
"District of Columbia","Season peak week","week","Bin","48","49",0.0255079579486662
"District of Columbia","Season peak week","week","Bin","49","50",0.0319982850920703
"District of Columbia","Season peak week","week","Bin","50","51",0.0391647647296979
"District of Columbia","Season peak week","week","Bin","51","52",0.0466671030111646
"District of Columbia","Season peak week","week","Bin","52","53",0.0540251928844401
"District of Columbia","Season peak week","week","Bin","1","2",0.0606586785817007
"District of Columbia","Season peak week","week","Bin","2","3",0.0659601317697604
"District of Columbia","Season peak week","week","Bin","3","4",0.0693909974545932
"District of Columbia","Season peak week","week","Bin","4","5",0.0705789905422365
"District of Columbia","Season peak week","week","Bin","5","6",0.0693909974545932
"District of Columbia","Season peak week","week","Bin","6","7",0.0659601317697604
"District of Columbia","Season peak week","week","Bin","7","8",0.0606586785817007
"District of Columbia","Season peak week","week","Bin","8","9",0.0540251928844401
"District of Columbia","Season peak week","week","Bin","9","10",0.0466671030111646
"District of Columbia","Season peak week","week","Bin","10","11",0.0391647647296979
"District of Columbia","Season peak week","week","Bin","11","12",0.0319982850920702
"District of Columbia","Season peak week","week","Bin","12","13",0.0255079579486663
"District of Columbia","Season peak week","week","Bin","13","14",0.0198879055797374
"District of Columbia","Season peak week","week","Bin","14","15",0.0152045629822485
"District of Columbia","Season peak week","week","Bin","15","16",0.0114285465019137
"District of Columbia","Season peak week","week","Bin","16","17",0.00846948653895283
"District of Columbia","Season peak week","week","Bin","17","18",0.0062066923040284
"District of Columbia","Season peak week","week","Bin","18","19",0.00451220083853275
"District of Columbia","Season peak week","week","Bin","19","20",0.00326567218414115
"District of Columbia","Season peak week","week","Bin","20","21",0.00236232632723343
"District of Columbia","Season peak percentage","percent","Bin","0","0.100000",0.00411400400116819
"District of Columbia","Season peak percentage","percent","Bin","0.100000","0.200000",0.00427546386739897
"District of Columbia","Season peak percentage","percent","Bin","0.200000","0.300000",0.00444280780421173
"District of Columbia","Season peak percentage","percent","Bin","0.300000","0.400000",0.0046160323008096
"District of Columbia","Season peak percentage","percent","Bin","0.400000","0.500000",0.00479511218169708
"District of Columbia","Season peak percentage","percent","Bin","0.500000","0.600000",0.00497999908211653
"District of Columbia","Season peak percentage","percent","Bin","0.600000","0.700000",0.00517061995617616
"District of Columbia","Season peak percentage","percent","Bin","0.700000","0.800000",0.0053668756334438
"District of Columbia","Season peak percentage","percent","Bin","0.800000","0.900000",0.00556863944074781
"District of Columbia","Season peak percentage","percent","Bin","0.900000","1",0.00577575590677014
"District of Columbia","Season peak percentage","percent","Bin","1","1.100000",0.00598803956773865
"District of Columbia","Season peak percentage","percent","Bin","1.100000","1.200000",0.00620527389304737
"District of Columbia","Season peak percentage","percent","Bin","1.200000","1.300000",0.00642721034999473
"District of Columbia","Season peak percentage","percent","Bin","1.300000","1.400000",0.00665356762695495
"District of Columbia","Season peak percentage","percent","Bin","1.400000","1.500000",0.00688403103418216
"District of Columbia","Season peak percentage","percent","Bin","1.500000","1.600000",0.00711825210108258
"District of Columbia","Season peak percentage","percent","Bin","1.600000","1.700000",0.00735584838813068
"District of Columbia","Season peak percentage","percent","Bin","1.700000","1.800000",0.0075964035306556
"District of Columbia","Season peak percentage","percent","Bin","1.800000","1.900000",0.00783946753047242
"District of Columbia","Season peak percentage","percent","Bin","1.900000","2",0.00808455730975415
"District of Columbia","Season peak percentage","percent","Bin","2","2.100000",0.00833115753965411
"District of Columbia","Season peak percentage","percent","Bin","2.100000","2.200000",0.00857872175398449
"District of Columbia","Season peak percentage","percent","Bin","2.200000","2.300000",0.00882667375575291
"District of Columbia","Season peak percentage","percent","Bin","2.300000","2.400000",0.0090744093215574
"District of Columbia","Season peak percentage","percent","Bin","2.400000","2.500000",0.00932129820578565
"District of Columbia","Season peak percentage","percent","Bin","2.500000","2.600000",0.00956668644326573
"District of Columbia","Season peak percentage","percent","Bin","2.600000","2.700000",0.00980989894551656
"District of Columbia","Season peak percentage","percent","Bin","2.700000","2.800000",0.0100502423820941
"District of Columbia","Season peak percentage","percent","Bin","2.800000","2.900000",0.0102870083347639
"District of Columbia","Season peak percentage","percent","Bin","2.900000","3",0.0105194767084115
"District of Columbia","Season peak percentage","percent","Bin","3","3.100000",0.0107469193787818
