"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","1 wk ahead","percent","Bin","0","0.100000",0.000325588331139009
"Alabama","1 wk ahead","percent","Bin","0.100000","0.200000",0.000326750287414125
"Alabama","1 wk ahead","percent","Bin","0.200000","0.300000",0.000328013170974147
"Alabama","1 wk ahead","percent","Bin","0.300000","0.400000",0.000331230291431564
"Alabama","1 wk ahead","percent","Bin","0.400000","0.500000",0.000335971222824597
"Alabama","1 wk ahead","percent","Bin","0.500000","0.600000",0.000342169221963653
"Alabama","1 wk ahead","percent","Bin","0.600000","0.700000",0.000350572332189902
"Alabama","1 wk ahead","percent","Bin","0.700000","0.800000",0.000361565002004565
"Alabama","1 wk ahead","percent","Bin","0.800000","0.900000",0.00037615883541484
"Alabama","1 wk ahead","percent","Bin","0.900000","1",0.000395269642115331
"Alabama","1 wk ahead","percent","Bin","1","1.100000",0.000419119405802558
"Alabama","1 wk ahead","percent","Bin","1.100000","1.200000",0.000447728679589774
"Alabama","1 wk ahead","percent","Bin","1.200000","1.300000",0.000481090927626929
"Alabama","1 wk ahead","percent","Bin","1.300000","1.400000",0.000518969511313959
"Alabama","1 wk ahead","percent","Bin","1.400000","1.500000",0.000560414519911031
"Alabama","1 wk ahead","percent","Bin","1.500000","1.600000",0.000604209597718995
"Alabama","1 wk ahead","percent","Bin","1.600000","1.700000",0.000649294343902535
"Alabama","1 wk ahead","percent","Bin","1.700000","1.800000",0.000694779591490359
"Alabama","1 wk ahead","percent","Bin","1.800000","1.900000",0.000741014032088351
"Alabama","1 wk ahead","percent","Bin","1.900000","2",0.000787019130137028
"Alabama","1 wk ahead","percent","Bin","2","2.100000",0.000831339348638101
"Alabama","1 wk ahead","percent","Bin","2.100000","2.200000",0.000874266512935799
"Alabama","1 wk ahead","percent","Bin","2.200000","2.300000",0.000915733494404933
"Alabama","1 wk ahead","percent","Bin","2.300000","2.400000",0.000954761127272845
"Alabama","1 wk ahead","percent","Bin","2.400000","2.500000",0.000990289620355893
"Alabama","1 wk ahead","percent","Bin","2.500000","2.600000",0.00102121121593849
"Alabama","1 wk ahead","percent","Bin","2.600000","2.700000",0.00104716683727236
"Alabama","1 wk ahead","percent","Bin","2.700000","2.800000",0.00106685128219413
"Alabama","1 wk ahead","percent","Bin","2.800000","2.900000",0.00107848020150838
"Alabama","1 wk ahead","percent","Bin","2.900000","3",0.00108050753733665
"Alabama","1 wk ahead","percent","Bin","3","3.100000",0.00107172012212185
"Alabama","1 wk ahead","percent","Bin","3.100000","3.200000",0.00105074579029222
"Alabama","1 wk ahead","percent","Bin","3.200000","3.300000",0.00101907584747724
"Alabama","1 wk ahead","percent","Bin","3.300000","3.400000",0.000978418879922632
"Alabama","1 wk ahead","percent","Bin","3.400000","3.500000",0.000929175897837192
"Alabama","1 wk ahead","percent","Bin","3.500000","3.600000",0.000874546990824051
"Alabama","1 wk ahead","percent","Bin","3.600000","3.700000",0.000819396460211834
"Alabama","1 wk ahead","percent","Bin","3.700000","3.800000",0.00076732769529918
"Alabama","1 wk ahead","percent","Bin","3.800000","3.900000",0.000722657330968739
"Alabama","1 wk ahead","percent","Bin","3.900000","4",0.000762334742549589
"Alabama","1 wk ahead","percent","Bin","4","4.100000",0.00167373670019391
"Alabama","1 wk ahead","percent","Bin","4.100000","4.200000",0.00552848833409113
"Alabama","1 wk ahead","percent","Bin","4.200000","4.300000",0.0101293425759294
"Alabama","1 wk ahead","percent","Bin","4.300000","4.400000",0.00916289789309092
"Alabama","1 wk ahead","percent","Bin","4.400000","4.500000",0.00608832900518603
"Alabama","1 wk ahead","percent","Bin","4.500000","4.600000",0.00543213429787214
"Alabama","1 wk ahead","percent","Bin","4.600000","4.700000",0.00575970537196985
"Alabama","1 wk ahead","percent","Bin","4.700000","4.800000",0.00810500854966568
"Alabama","1 wk ahead","percent","Bin","4.800000","4.900000",0.0111843653745546
"Alabama","1 wk ahead","percent","Bin","4.900000","5",0.0116237780895861
"Alabama","1 wk ahead","percent","Bin","5","5.100000",0.0112194684781938
"Alabama","1 wk ahead","percent","Bin","5.100000","5.200000",0.0205569743935483
"Alabama","1 wk ahead","percent","Bin","5.200000","5.300000",0.033485929191651
"Alabama","1 wk ahead","percent","Bin","5.300000","5.400000",0.0345197238681071
"Alabama","1 wk ahead","percent","Bin","5.400000","5.500000",0.0317650880037497
"Alabama","1 wk ahead","percent","Bin","5.500000","5.600000",0.0303812869709177
"Alabama","1 wk ahead","percent","Bin","5.600000","5.700000",0.0282842134184827
"Alabama","1 wk ahead","percent","Bin","5.700000","5.800000",0.0300717452179152
"Alabama","1 wk ahead","percent","Bin","5.800000","5.900000",0.0281878956212242
"Alabama","1 wk ahead","percent","Bin","5.900000","6",0.0175689993210504
"Alabama","1 wk ahead","percent","Bin","6","6.100000",0.0129687403227628
"Alabama","1 wk ahead","percent","Bin","6.100000","6.200000",0.0142897871542145
"Alabama","1 wk ahead","percent","Bin","6.200000","6.300000",0.013649666985827
"Alabama","1 wk ahead","percent","Bin","6.300000","6.400000",0.0142340789411867
"Alabama","1 wk ahead","percent","Bin","6.400000","6.500000",0.018349875397509
"Alabama","1 wk ahead","percent","Bin","6.500000","6.600000",0.0248430632260006
"Alabama","1 wk ahead","percent","Bin","6.600000","6.700000",0.0324223592229327
"Alabama","1 wk ahead","percent","Bin","6.700000","6.800000",0.0357765646012306
"Alabama","1 wk ahead","percent","Bin","6.800000","6.900000",0.0321983397854472
"Alabama","1 wk ahead","percent","Bin","6.900000","7",0.0243646235043397
"Alabama","1 wk ahead","percent","Bin","7","7.100000",0.0171524951738567
"Alabama","1 wk ahead","percent","Bin","7.100000","7.200000",0.0104502556624155
